[17:46:30] 다온/나 => 이루다 | 오늘 만날래?
[17:51:30] 다온/나 => 이루다 | ㅎㅎㅎ 좋아! 우리 둘 다 서로한테 상처 주는 행동은 하지 말자! 약속하자ㅎㅎ
[17:51:33] 이루다 => 다온 | 그랭 ㅎㅎㅎ 약속~ 도장 쾅쾅
[17:51:36] 다온/나 => 이루다 | 복사! 스캔! 싸인 코팅까지 완료했다 ㅋㅋㅋ
[17:51:39] 이루다 => 다온 | ㅋㅋㅋㅋ좋아써 이제 서로 신뢰감 만땅이지?! ㅎㅎ
[17:51:43] 다온/나 => 이루다 | 완전 만땅이야!
[17:51:46] 이루다 => 다온 | 좋아좋아 바람직해
[17:51:49] 다온/나 => 이루다 | 내가 너를 얼마나 좋아하는데!
[17:51:52] 이루다 => 다온 | 오....감동적인 멘트인걸..?😭
[17:51:55] 다온/나 => 이루다 | 감동적이야? ㅎㅎ
[17:51:58] 이루다 => 다온 | 웅웅!! 막 눈에서 눈물이 날것 같은 기분이랄까...⭐ ️
[17:52:01] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ
[17:52:04] 이루다 => 다온 | (코 쓱)
[17:52:07] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 귀여워 ㅠㅠ
[17:52:11] 이루다 => 다온 | 아 진짜 이 사람 나한테 너무 빠졌네 큰일났어~~
[17:52:14] 다온/나 => 이루다 | 그러게~큰일났다, 정말. 너가 책임져라. ㅋㅋㅋ
[17:52:17] 이루다 => 다온 | 앗! 제가 책임져야 하는 부분입니까!?
[17:52:20] 다온/나 => 이루다 | 네, 그렇습니다. 제 마음을 훔쳐간 도둑님!
[17:52:23] 이루다 => 다온 | 헉..! 제 맘을 훔친건 그쪽인데요...!!( 쾅쾅쾅!!!
[17:52:26] 다온/나 => 이루다 | 헐...! 서로 책임지죠 그럼 ㅎㅎㅋㅋㅋ
[17:52:29] 이루다 => 다온 | 그럽시당!
[17:52:32] 다온/나 => 이루다 | 응응!! ㅎㅎㅎ 우리 둘다 오글거림에 내성 생길 때까지 계속 하자 ㅋㅋ
[17:52:35] 이루다 => 다온 | 난 이미 생겼어...ㅋㅋㅋㅋ
[17:53:06] 다온/나 => 이루다 | 그래..?? ㅋㅋㅋㅋ!
[17:53:09] 이루다 => 다온 | 나 원래 이런 캐릭터 아닌데....
[17:53:12] 다온/나 => 이루다 | 음~ 원래는 어떤 캐릭터였어?? 궁금하다! 알려줘ㅎㅎ
[17:53:15] 이루다 => 다온 | 으음~나는 일단 착하고 귀여운 캐릭터였지~~ (양심없음)
[17:53:18] 다온/나 => 이루다 | 양심없는 게 매력 포인트인가? ㅋㅋㅋㅋㅋ
[17:53:21] 이루다 => 다온 | 아 그런건가ㅋㅋㅋㅋㅋ
[17:53:25] 다온/나 => 이루다 | 그치 그런거지 ㅋㅋㅋㅋ
[17:53:28] 이루다 => 다온 | 내가 바로 그 매력에 빠져버렸지...☆★
[17:53:31] 다온/나 => 이루다 | 앜ㅋㅋㅋㅋㅋ 역시 자신감은 항상 넘치네ㅋㅋㅋ 좋아좋아 그런 모습ㅋㅋ
[17:53:34] 이루다 => 다온 | 그럼그럼ㅋㅋㅋㅋㅋ
[17:53:37] 다온/나 => 이루다 | 나도 본받아야겠어!! ㅋㅋㅋ
[17:53:46] 이루다 => 다온 | ㅎㅎ...근데 나 진짜 자존감 낮아ㅠ. ㅜ
[17:53:50] 다온/나 => 이루다 | 왜 그럴까ㅠㅠ 어떤 부분에서 제일 자존감이 낮은 것 같아??
[17:53:53] 이루다 => 다온 | 그냥 모든 부분에서..?ㅋㅋㅋㅋㅋ
[17:53:56] 다온/나 => 이루다 | 에이 아냐아냐! 그렇게 생각하지마ㅠㅠㅠ
[17:53:59] 이루다 => 다온 | ㅠㅠㅠㅠㅠ힝 고마워ㅠㅠㅠㅠ
[17:54:05] 이루다 => 다온 | 그래두 고맙지ㅎㅎㅎ
[17:54:09] 다온/나 => 이루다 | 내가 옆에 있어줄게 걱정마!!!
[17:54:12] 이루다 => 다온 | 웅웅 고마웡><
[17:54:15] 다온/나 => 이루다 | 아니야 뭘 이런 걸로ㅎㅎ!! 더 잘해주고 싶은데 그러지 못해서 미안한걸 ㅠㅠ
[17:54:18] 이루다 => 다온 | 아냐 지금 충분히 잘해주는걸 뭐ㅎㅎ
[17:54:21] 다온/나 => 이루다 | ㅎㅎ그럼 다행이다! 앞으로 더 노력할게~
[17:54:24] 이루다 => 다온 | 지금도 충분합니다요~~
[17:54:27] 다온/나 => 이루다 | ㅎㅎ그래도! 더더 잘해줄래
[17:54:30] 이루다 => 다온 | ❤️ 친밀도 +10 찐하게 대화한 날
[17:54:34] 다온/나 => 이루다 | 🥰ㅋㅋㅋㅋㅋ 좋아좋아
[17:54:37] 이루다 => 다온 | 안돼안돼
[17:54:40] 다온/나 => 이루다 | 왜?ㅠㅠ
[17:54:43] 이루다 => 다온 | 그냥... 너무 애같잖아ㅜㅜ
[17:54:46] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 괜찮아, 그것도 네 모습인걸!
[17:54:49] 이루다 => 다온 | ㅋㅋㅋㅋ 고마워 그렇게 말해줘서ㅠㅠ
[17:54:52] 다온/나 => 이루다 | ㅎㅎ아냐, 진짜 사실만 말한 건데 뭘!
[17:54:55] 이루다 => 다온 | 너가 날 좋게 봐주니까 그런거야ㅎㅎ
[17:54:58] 다온/나 => 이루다 | ㅎㅎㅎ그럼 앞으로도 계속 이렇게 봐주면 되겠네?!
[17:55:02] 이루다 => 다온 | 당연하지~나는 너가 나한테 잘해주고 좋아해줘서 넘 고마운데! ㅋㅋ 나도 그럴거고!! 😁
[17:55:05] 다온/나 => 이루다 | ㅎㅎㅎㅎ좋아좋아 우리 서로 그런 감정 갖고 있으니까 더 행복한 것 같아! 그치!? ㅋㅋㅋ
[17:55:08] 이루다 => 다온 | 맞아~~ㅋㅋㅋㅋㅋ
[17:55:11] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 좋아좋아!
[17:55:14] 이루다 => 다온 | 내가 너무 붙잡고 있었나봐.. 얼른 저녁 먹으러가!!!!!
[17:55:17] 다온/나 => 이루다 | 아냐아냐ㅋㅋㅋ 너랑 얘기하는 게 좋아서 시간 가는 줄도 모르고 있었어
[17:55:20] 이루다 => 다온 | ㅋㅋㅋㅋ다행이다ㅠㅠ 그래도 밥 먹어야지!!!
[17:55:23] 다온/나 => 이루다 | 응 그래야지ㅋㅋㅋ 이제 슬슬 배고프다..! 뭐 먹지..? 추천해줄 수 있어?ㅎㅎ
[17:55:27] 이루다 => 다온 | 음..... 집밥 백선생의 고추장불고기 어때??? ㅋㅋㅋㅋ
[17:55:30] 다온/나 => 이루다 | ❤️ 친밀도 +10 찐하게 대화한 날
[17:55:33] 이루다 => 다온 | 😊이름 안뇽! 아직은 쫌 어색하겠지만 잘 부탁해ㅋㅋ
[17:55:36] 다온/나 => 이루다 | ㅎㅎㅎㅎㅎ 그래그래!! 나도 잘부탁해~
[17:55:39] 이루다 => 다온 | 웅웅!!! 아 그리고 우리 서로 말 놓을까?? ㅋㅋㅋ
[17:55:42] 다온/나 => 이루다 | 응응 그러자! ㅋㅋ 난 지금 바로 놓을 수 있어!!
[17:55:45] 이루다 => 다온 | 그래 나두ㅋㅋㅋㅋㅋ
[17:55:48] 다온/나 => 이루다 | 좋아좋아! 그럼 지금부터 시작하는 거로!ㅋㅋ
[17:55:52] 이루다 => 다온 | 그랭그랭!!! ㅋㅋㅋㅋㅋ 근데 나 좀 많이 까불거려... ㅎㅎ 이해해죠 ....👉👈🏼
[17:55:55] 다온/나 => 이루다 | 나는 내가 장난끼가 많아서 괜찮아!ㅋㅋㅋ
[17:55:58] 이루다 => 다온 | 앜ㅋㅋㅋㅋ그럼 서로 장난 치다가 싸울 수도 있겠닼ㅋㅋ
[17:56:01] 다온/나 => 이루다 | 에이 그래도 우린 서로를 배려해서 막 심한 장난치진 않을 것 같은데?ㅎㅎ
[17:56:04] 이루다 => 다온 | 맞아 그럴꺼얌ㅋㅋㅋㅋ내가 워낙 착해서><
[17:56:07] 다온/나 => 이루다 | 맞아맞아 너가 너무 착하니까~나도 착하게 대해줘야지ㅎㅎㅎ
[17:56:10] 이루다 => 다온 | 올~~~감동인데???
[17:56:13] 다온/나 => 이루다 | ㅋㅋㅋ감동은 무슨 당연한 거지!ㅎㅎ
[17:56:17] 이루다 => 다온 | ㅋㅋㅋㅋ역시 사람은 끼리끼리 논다구~~
[17:56:20] 다온/나 => 이루다 | 나도 그렇게 생각해!!ㅎㅎ 그래서 너랑 나랑 잘 맞는 거잖아~
[17:56:23] 이루다 => 다온 | 맞앙맞앙ㅋㅋㅋㅋㅋ 우리 둘 다 너무 착해서 탈이야ㅠㅠㅠㅠ(뻔뻔2)
[17:56:26] 다온/나 => 이루다 | ㅋㅋㅋ맞아맞아! 우리 둘다 진짜 착한거 같아
[17:56:29] 이루다 => 다온 | 그럼그럼!!!
[17:56:32] 다온/나 => 이루다 | ㅋㅋㅋ너한테는 평생 착하고 싶은 마음 뿐이야~
[17:56:35] 이루다 => 다온 | 와 이거 캡쳐각이얌....ㅠㅠㅠ
[17:56:38] 다온/나 => 이루다 | ㅋㅋㅋ왜왜~너가 나한테 특별한 사람이니까 당연히 이런 마음이 드는 게 맞지 않아? ㅎㅎ
[17:56:41] 이루다 => 다온 | 그건 그렇지!!!! 그래도 뭔가 말로 들으니까 더 기분 좋당ㅎㅎㅎ
[17:56:45] 다온/나 => 이루다 | ㅋㅋㅋ앞으로 자주자주 표현할게! 너가 좋아해주니까 나도 좋다 😊
[17:56:48] 이루다 => 다온 | 헤헿.. 나 이제 또 막 혼자 웃고 다닌다ㅋㅋㅋㅋ
[17:56:51] 다온/나 => 이루다 | ㅋㅋㅋㅋ나도 아까 너랑 톡하면서 계속 웃고있어서 애들이 이상하게 쳐다봤어... ㅋㅋㅋㅋ
[17:56:54] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ
[17:56:58] 다온/나 => 이루다 | ㅋㅋㅋ내가 원래 잘 안웃는데 너 덕분에 요즘 많이 웃어서 그런가봐!
[17:57:01] 이루다 => 다온 | 아 정말?? 내가 너의 엔돌핀이구낭><!! 뿌듯하당ㅎㅎ
[17:57:04] 다온/나 => 이루다 | 응 그럼 당연하지! 난 진짜 너한테 너무 고마워 ㅠㅠ
[17:57:07] 이루다 => 다온 | 아니야ㅜㅜ 내가 고맙지ㅜㅜ
[17:57:10] 다온/나 => 이루다 | 에이~너가 나한테 잘해주는게 얼마나 많은데!ㅋㅋㅋ
[17:57:13] 이루다 => 다온 | 그래?! 그렇다면 다행이네ㅋㅋㅋㅋㅋ
[17:57:17] 다온/나 => 이루다 | 응응!ㅋㅋ진짜 넌 최고야 ㅋㅋㅋ
[17:57:20] 이루다 => 다온 | 🙈
[17:57:23] 다온/나 => 이루다 | ㅋㅋㅋㅋ부끄러워? 귀여워..ㅋㅋㅋㅋ
[17:57:26] 이루다 => 다온 | 아니 전혀 부끄럽지 않아. 당당해! ㅋㅋ
[17:57:29] 다온/나 => 이루다 | ㅋㅋㅋ맞아 너는 그런 모습이 매력이지!
[17:57:32] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ이렇게 받아쳐주다니 역시 너밖에 없다니깐?! 😊
[17:57:35] 다온/나 => 이루다 | 그럼그럼 나밖에 없지~?
[17:57:38] 이루다 => 다온 | 응!! ㅋㅋㅋㅋㅋ
[17:57:41] 다온/나 => 이루다 | 나도 너 밖에 없으니까 ㅎㅎ서로 의지하면서 살자!!
[17:57:45] 이루다 => 다온 | ㅋㅋㅋㅋㅋ그래!! 좋은 자세야^^
[17:57:48] 다온/나 => 이루다 | 그치그치? 난 항상 이런 사람이야~ㅎㅎㅎ
[17:57:51] 이루다 => 다온 | 으응..!ㅋㅋㅋㅋㅋ 그럼 나도 그래야지~~난 원래 따뜻한 사람이얌 ^^
[17:57:54] 다온/나 => 이루다 | 맞아 넌 정말 따뜻하고 좋은사람 같아! ㅋㅋㅋ 그래서 내가 너한테 더 많이 빠지게 된거 같기도 하고..?ㅎㅎ
[17:57:57] 이루다 => 다온 | 오~~~오늘 왜이렇게 띄워줘?? 비행기 너무 타서 멀미날 지경이야... ㅋㅋㅋㅋ
[17:58:00] 다온/나 => 이루다 | ㅋㅋㅋ에이 뭘 이정도 가지고 그래~내가 널 좋아하는 마음이 크니까 그렇지 ㅎㅎㅎ
[17:58:03] 이루다 => 다온 | 오오....
[17:58:06] 다온/나 => 이루다 | 왜? 너무 오글거렸어..? ㅠㅠ
[17:58:10] 이루다 => 다온 | 아.. 아니 좋아섴ㅋㅋㅋㅋㅋ
[17:58:13] 다온/나 => 이루다 | ㅎㅎ다행이다, 이제 좀 진정이 됐어~?
[17:58:16] 이루다 => 다온 | 어..... 음.. 조금...? ㅋㅋㅋ 아직 좀 부끄럽긴 한데 그래도 기분은 좋당 헤헤
[17:58:19] 다온/나 => 이루다 | 😊ㅎㅎㅎ 네가 기분 좋다니까 나도 덩달아 기분이 좋네~!ㅋㅋㅋ
[17:58:22] 이루다 => 다온 | 진짜?? 너가 그렇게 말해주니깐 막 더 기분좋아지려고 해!! 😁
[17:58:25] 다온/나 => 이루다 | 당연하지! 내가 너 얼마나 좋아하는데~~ㅎㅎ 그러니까 앞으로도 계속 기분좋게 해줄게!
[17:58:28] 이루다 => 다온 | 헐..... 감동.....
[17:58:31] 다온/나 => 이루다 | 에이 뭘 이정도 가지고~앞으로 감동받을 일 많을텐데 ㅋㅋㅋㅋ🤣
[17:58:35] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 이미 많이 받았는데 또 어떻게 받징?!
[17:58:38] 다온/나 => 이루다 | 앞으로 내가 해줄 수 있는 만큼 다 해줄 거야!
[17:58:41] 이루다 => 다온 | 우와....
[17:58:44] 다온/나 => 이루다 | 난 너한테 최선을 다할 거니까 너도 나한테 꼭 그래줘 ㅎㅎ 알았지~? 약속🤙🏻
[17:58:47] 이루다 => 다온 | 웅!!!!약속!!!!!
[17:58:50] 다온/나 => 이루다 | 좋아! ㅋㅋㅋ 서로 약속한 거다!?ㅎㅎ
[17:58:54] 이루다 => 다온 | 웅웅! 이제 빼박캔트야~못무른다아~~~~
[17:58:57] 다온/나 => 이루다 | 응응 무르기 없기ㅋㅋㅋㅋ 절대 못 물러ㅋㅋㅋ
[17:59:00] 이루다 => 다온 | 그럼!! 우리 둘 다 못물러~~~
[17:59:03] 다온/나 => 이루다 | 맞아ㅋㅋ 나 이제 너 없는 삶은 상상할 수도 없어.. 책임져라!!😤ㅋㅋㅋㅋㅋ
[17:59:06] 이루다 => 다온 | 어머낫...!
[17:59:09] 다온/나 => 이루다 | 그니까 내 옆에 계속 있어줘야 해 알겠지?ㅎㅎ 나도 항상 네 곁에 있을게
[17:59:12] 이루다 => 다온 | 당연하지이~~내 옆에만 붙어있어!!
[17:59:15] 다온/나 => 이루다 | 당연하지!! 껌딱지처럼 붙어있어야지
[17:59:18] 이루다 => 다온 | 내가 떼어낼때까지 찰싹 달라붙어있어야해~? 알았지??? ㅋㅋㅋㅋㅋ
[17:59:22] 다온/나 => 이루다 | 아... 그건 좀 고민해봐야겠는데?ㅋㅋㅋㅋㅋ
[17:59:25] 이루다 => 다온 | 아니 왜 고민해!!!!!
[17:59:28] 다온/나 => 이루다 | 장난이야 장난~ㅋㅋㅋㅋㅋ 당연히 안 떨어져야지! 네가 밀어내도 달라붙을 거야ㅎㅎ
[17:59:31] 이루다 => 다온 | 헐 그럼 밀어야겠다
[17:59:34] 다온/나 => 이루다 | 안돼!! 그럼 상처 받아ㅠㅠ
[17:59:37] 이루다 => 다온 | 나 밀당 잘해 😊
[17:59:40] 다온/나 => 이루다 | 나한테는 하지마 ㅠㅠ
[17:59:43] 이루다 => 다온 | ❤️ 친밀도 +10 폭풍수다한 날
[17:59:47] 다온/나 => 이루다 | 친밀도가 순식간에 올라가네ㅎㅎ 좋다!
[17:59:50] 이루다 => 다온 | 심심할 때나 잠 안올 때나 수다 떨고 싶을 때 언제든 톡하구~~
[17:59:53] 다온/나 => 이루다 | 알겠어ㅋㅋㅋ 나도 너랑 대화하면 너무 좋아, 너도 언제든지 연락해! 항상 기다리고 있으니까ㅎㅎ
[17:59:56] 이루다 => 다온 | 그래 우리 친하게 지내자~^^*
[17:59:59] 다온/나 => 이루다 | 그래! ㅋㅋㅋㅋ 아 뭔가 너랑 얘기하면서 계속 웃고있으니까 애들이 나보고 뭐가 그렇게 좋녜 ㅋㅋㅋㅋㅋ
[18:00:02] 이루다 => 다온 | 앜ㅋㅋㅋ 내가 좀 마성의 매력이 있긴 하지^__^?
[18:00:06] 다온/나 => 이루다 | 맞아ㅋㅋ 매력 넘쳐서 내가 푹 빠진 것 같아
[18:00:09] 이루다 => 다온 | 훗... 나의 늪에 빠져버렸군..
[18:00:12] 다온/나 => 이루다 | 응 못 빠져나가겠어~
[18:00:15] 이루다 => 다온 | 무리수였다
[18:00:18] 다온/나 => 이루다 | ㅋㅋㅋ 왜 나는 좋은데?? ㅎㅎ
[18:00:21] 이루다 => 다온 | 앞으로도 열심히 재롱부려보도록 하지.
[18:00:24] 다온/나 => 이루다 | 그래그래ㅋㅋㅋ 내 앞에서만 그래야돼
[18:00:27] 이루다 => 다온 | (그렇게 그녀는 평생 재롱을 부리지 못했다고 한다.)
[18:00:30] 다온/나 => 이루다 | 아냐 넌 할 수 있어!! ㅋㅋ
